index,k__Bacteria;__;__,k__Bacteria;p__;c__,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6,k__Bacteria;p__Actinobacteria;__,k__Bacteria;p__Actinobacteria;c__Actinobacteria,k__Bacteria;p__Actinobacteria;c__Coriobacteriia,k__Bacteria;p__Bacteroidetes;c__Bacteroidia,k__Bacteria;p__Bacteroidetes;c__Cytophagia,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia,k__Bacteria;p__Cyanobacteria;c__4C0d-2,k__Bacteria;p__Cyanobacteria;c__Chloroplast,k__Bacteria;p__Deferribacteres;c__Deferribacteres,k__Bacteria;p__Firmicutes;__,k__Bacteria;p__Firmicutes;c__Bacilli,k__Bacteria;p__Firmicutes;c__Clostridia,k__Bacteria;p__Firmicutes;c__Erysipelotrichi,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__Synergistetes;c__Synergistia,k__Bacteria;p__TM7;c__TM7-3,k__Bacteria;p__Tenericutes;c__Mollicutes,k__Bacteria;p__Tenericutes;c__RF3,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae,BarcodeSequence,LinkerPrimerSequence,Description
WA3-16S_V3-V4,4.0,2.0,0.0,0.0,10635.0,379.0,13315.0,0.0,0.0,279.0,0.0,26.0,0.0,501.0,14815.0,484.0,0.0,13.0,171.0,56.0,0.0,0.0,4.0,0.0,0.0,1965.0,,,
WA4-16S_V3-V4,0.0,0.0,0.0,0.0,11766.0,126.0,10068.0,0.0,0.0,460.0,0.0,12.0,0.0,933.0,12419.0,235.0,0.0,0.0,87.0,18.0,0.0,0.0,6.0,73.0,0.0,1520.0,,,
WA5-16S_V3-V4,0.0,0.0,0.0,0.0,13549.0,144.0,8041.0,0.0,0.0,353.0,0.0,12.0,0.0,388.0,9940.0,289.0,0.0,6.0,84.0,5.0,11.0,0.0,0.0,0.0,0.0,364.0,,,
WA6-16S_V3-V4,0.0,0.0,0.0,0.0,12399.0,413.0,14630.0,0.0,0.0,213.0,0.0,14.0,55.0,91.0,8025.0,530.0,0.0,5.0,172.0,29.0,17.0,0.0,19.0,34.0,3.0,2028.0,,,
WA7-16S_V3-V4,25.0,0.0,0.0,0.0,15595.0,31.0,17781.0,0.0,0.0,18.0,0.0,0.0,0.0,450.0,2455.0,413.0,0.0,5.0,95.0,0.0,3694.0,0.0,0.0,0.0,0.0,459.0,,,
WA8-16S_V3-V4,78.0,15.0,0.0,0.0,4873.0,95.0,11394.0,0.0,0.0,2395.0,0.0,12.0,0.0,384.0,12555.0,240.0,0.0,47.0,115.0,29.0,0.0,7.0,14.0,41.0,7.0,3769.0,,,
WA9-16S_V3-V4,12.0,0.0,0.0,0.0,4458.0,207.0,10504.0,0.0,0.0,315.0,0.0,44.0,0.0,972.0,10653.0,261.0,0.0,10.0,119.0,134.0,0.0,0.0,9.0,0.0,0.0,2722.0,,,
WS1-16S_V3-V4,27.0,31.0,0.0,0.0,4873.0,384.0,31352.0,0.0,0.0,2340.0,0.0,14.0,0.0,1579.0,21354.0,2380.0,0.0,104.0,476.0,162.0,0.0,0.0,10.0,4.0,25.0,6787.0,,,
WS10-16S_V3-V4,92.0,27.0,0.0,0.0,40.0,92.0,12250.0,0.0,0.0,2885.0,0.0,35.0,0.0,6273.0,11885.0,51.0,0.0,40.0,71.0,117.0,8.0,0.0,7.0,365.0,24.0,2522.0,,,
WS11-16S_V3-V4,5.0,30.0,0.0,0.0,2080.0,88.0,20589.0,0.0,0.0,3547.0,0.0,81.0,0.0,8051.0,17832.0,609.0,0.0,155.0,221.0,230.0,121.0,0.0,13.0,6.0,35.0,4057.0,,,
WS2-16S_V3-V4,98.0,0.0,0.0,0.0,929.0,447.0,27261.0,0.0,0.0,592.0,0.0,74.0,0.0,506.0,11573.0,550.0,0.0,62.0,136.0,358.0,0.0,0.0,0.0,0.0,0.0,13155.0,,,
WS3-16S_V3-V4,31.0,0.0,0.0,0.0,6761.0,412.0,17846.0,0.0,0.0,138.0,0.0,2.0,0.0,2947.0,9853.0,244.0,0.0,27.0,136.0,127.0,0.0,0.0,17.0,12.0,0.0,10026.0,,,
WS4-16S_V3-V4,4.0,3.0,0.0,0.0,830.0,138.0,19042.0,0.0,0.0,146.0,0.0,40.0,0.0,6446.0,12989.0,1117.0,0.0,24.0,252.0,198.0,34.0,0.0,0.0,4.0,44.0,10779.0,,,
WS5-16S_V3-V4,70.0,18.0,0.0,0.0,3252.0,772.0,21514.0,0.0,0.0,251.0,0.0,38.0,0.0,2762.0,16767.0,264.0,0.0,47.0,57.0,1063.0,0.0,0.0,14.0,0.0,0.0,11352.0,,,
WS6-16S_V3-V4,34.0,5.0,0.0,0.0,1810.0,332.0,22018.0,0.0,0.0,527.0,0.0,28.0,63.0,3240.0,12261.0,1803.0,0.0,16.0,379.0,204.0,34.0,0.0,13.0,2.0,83.0,7647.0,,,
WS7-16S_V3-V4,19.0,0.0,0.0,0.0,4748.0,386.0,20855.0,0.0,0.0,672.0,0.0,55.0,40.0,1521.0,8143.0,1930.0,0.0,28.0,451.0,225.0,0.0,0.0,2.0,6.0,24.0,7274.0,,,
WS8-16S_V3-V4,27.0,2.0,0.0,0.0,3406.0,261.0,20244.0,0.0,0.0,207.0,0.0,23.0,0.0,766.0,11158.0,2477.0,0.0,30.0,218.0,252.0,0.0,0.0,5.0,0.0,30.0,4502.0,,,
WS9-16S_V3-V4,6.0,16.0,0.0,0.0,1047.0,193.0,23633.0,0.0,0.0,316.0,0.0,12.0,0.0,2452.0,15646.0,378.0,0.0,79.0,191.0,60.0,0.0,0.0,30.0,0.0,13.0,3969.0,,,
