index,k__Bacteria;__;__;__,k__Bacteria;p__;c__;o__,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15,k__Bacteria;p__Actinobacteria;__;__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales,k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales,k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__MLE1-12,k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta,k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales,k__Bacteria;p__Firmicutes;__;__,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales,k__Bacteria;p__Firmicutes;c__Clostridia;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,k__Bacteria;p__Firmicutes;c__Clostridia;o__SHA-98,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales,k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales,k__Bacteria;p__TM7;c__TM7-3;o__,k__Bacteria;p__TM7;c__TM7-3;o__CW040,k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales,k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39,k__Bacteria;p__Tenericutes;c__RF3;o__ML615J-28,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales,BarcodeSequence,LinkerPrimerSequence,Description
WA9-16S_V3-V4,12.0,0.0,0.0,0.0,0.0,0.0,4458.0,207.0,10504.0,0.0,0.0,0.0,315.0,0.0,44.0,0.0,0.0,924.0,48.0,0.0,10653.0,0.0,261.0,0.0,10.0,0.0,0.0,119.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2722.0,,,
WS1-16S_V3-V4,27.0,31.0,0.0,0.0,0.0,0.0,4873.0,384.0,31352.0,0.0,0.0,0.0,2340.0,0.0,14.0,0.0,0.0,1085.0,494.0,0.0,21354.0,0.0,2380.0,0.0,104.0,0.0,0.0,476.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,25.0,6787.0,,,
WS10-16S_V3-V4,92.0,27.0,0.0,0.0,0.0,0.0,40.0,92.0,12250.0,0.0,0.0,0.0,2885.0,0.0,35.0,0.0,0.0,3036.0,3237.0,0.0,11885.0,0.0,51.0,0.0,40.0,0.0,0.0,71.0,0.0,117.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,365.0,0.0,24.0,2522.0,,,
WS11-16S_V3-V4,5.0,30.0,0.0,0.0,0.0,0.0,2080.0,88.0,20589.0,0.0,0.0,0.0,3547.0,0.0,81.0,0.0,0.0,602.0,7449.0,0.0,17832.0,0.0,609.0,0.0,155.0,0.0,0.0,221.0,0.0,230.0,121.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,0.0,35.0,4057.0,,,
WS2-16S_V3-V4,98.0,0.0,0.0,0.0,0.0,0.0,929.0,447.0,27261.0,0.0,0.0,0.0,592.0,0.0,74.0,0.0,0.0,506.0,0.0,0.0,11573.0,0.0,550.0,0.0,62.0,0.0,0.0,136.0,0.0,358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13155.0,,,
WS3-16S_V3-V4,31.0,0.0,0.0,0.0,0.0,0.0,6761.0,412.0,17846.0,0.0,0.0,0.0,138.0,0.0,2.0,0.0,0.0,2848.0,99.0,0.0,9853.0,0.0,244.0,0.0,27.0,0.0,0.0,136.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,12.0,0.0,10026.0,,,
WS4-16S_V3-V4,4.0,3.0,0.0,0.0,0.0,0.0,830.0,138.0,19042.0,0.0,0.0,0.0,146.0,0.0,40.0,0.0,0.0,579.0,5867.0,0.0,12989.0,0.0,1117.0,0.0,24.0,0.0,0.0,252.0,0.0,198.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,44.0,10779.0,,,
WS5-16S_V3-V4,70.0,18.0,0.0,0.0,0.0,0.0,3252.0,772.0,21514.0,0.0,0.0,0.0,251.0,0.0,38.0,0.0,3.0,2747.0,12.0,0.0,16767.0,0.0,264.0,0.0,47.0,0.0,0.0,57.0,0.0,1063.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,11352.0,,,
WS6-16S_V3-V4,34.0,5.0,0.0,0.0,0.0,0.0,1810.0,332.0,22018.0,0.0,0.0,0.0,527.0,0.0,28.0,63.0,0.0,473.0,2767.0,0.0,12261.0,0.0,1803.0,0.0,16.0,0.0,0.0,379.0,0.0,204.0,34.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,83.0,7647.0,,,
WS7-16S_V3-V4,19.0,0.0,0.0,0.0,0.0,0.0,4748.0,386.0,20855.0,0.0,0.0,0.0,672.0,0.0,55.0,40.0,0.0,550.0,971.0,0.0,8143.0,0.0,1930.0,0.0,24.0,4.0,0.0,451.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,24.0,7274.0,,,
WS8-16S_V3-V4,27.0,2.0,0.0,0.0,0.0,0.0,3406.0,261.0,20244.0,0.0,0.0,0.0,207.0,0.0,23.0,0.0,0.0,720.0,46.0,0.0,11158.0,0.0,2477.0,0.0,30.0,0.0,0.0,218.0,0.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,30.0,4502.0,,,
WS9-16S_V3-V4,6.0,16.0,0.0,0.0,0.0,0.0,1047.0,193.0,23633.0,0.0,0.0,0.0,316.0,0.0,12.0,0.0,0.0,2282.0,170.0,0.0,15646.0,0.0,378.0,0.0,79.0,0.0,0.0,191.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,13.0,3969.0,,,
