#Feature ID	Taxon	Confidence
4ecdea1a61647086dbc26d04f5f6dd85	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.9986779800074641
a52afd83a3decccfc230596cbd34eae7	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae	0.8769880005146009
227468f984d81b33b7cd8847dcf197be	k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__; f__; g__; s__	0.9851983014477042
22daf41b005ad68a1b5fd190fc8e36b1	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.9998601110018199
b619396830962a96be7b3e9bf7c982ca	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium	0.7913154999722933
9562ea2f77b6b63c79a1dc5893d91f01	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__muciniphila	0.9999999987957295
3cef3d9362369c46b5e538a16689a4f0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.7847410983574011
3a70a04aa0a997d4b8005a724adfe7b1	k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2; f__; g__; s__	0.9999999797121293
b9a426ff4fb6ba501b4c6b4f27ccae69	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.8432849598872871
03e6af892f4a030eb0a5f9039eca0707	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.783796536375087
0d95fa5a155b7724f63110bcca62027c	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__C21_c20	0.9999999411153784
d240ea90762c2c08b599d67275db1020	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.9971930652451327
4b501b30513e690e65d9dc8dc99a13ed	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.9999611119432791
